ID,PLAYER NAME,KILL POINTS,T4 DEADS,T5 DEADS,DEADS,T4 KILLS,T5 KILLS,KILLS,DKP,KILL REQUIREMENTS,POWER LOSS REQUIREMENTS
47994307,ᴳᶜAkarr,2382785780,,,,15622756,111301644,127600992,,42000000,27500000
25280422,Training Wills,1354167064,,,,7534382,63935844,71560574,,40500000,25200000
79924550,RaiKo,1180758108,,,,4154818,56954726,61219762,,30000000,11900000
25989222,Bjøørn,1043164833,,,,3124059,50595287,59625320,,40500000,25200000
3623745,Devy G1,1040894554,,,,10955459,46529811,58412596,,31500000,13500000
57928587,вагԁаск,777714690,,,,6674583,35433385,53755411,,31500000,13500000
73580017,KingArka,1031726540,,,,3109131,50016152,53411602,,31500000,13500000
6271115,Siân,1002731400,,,,4604954,47830094,52588214,,30000000,11900000
146439927,Ŀux,966650401,,,,7544651,44551715,52271809,,33000000,15200000
25484214,Dezille,962007919,,,,4048532,46039616,50445105,,31500000,13500000
145908679,M O É,933407264,,,,4567039,44384312,49001479,,20000000,7700000
89314925,乄Niko,941356356,,,,3664103,45234165,48923386,,31500000,13500000
142177944,Grochu ᴸᴾ,725944873,,,,8928014,31676089,45656352,,20000000,7700000
62836371,ᴅ ᴏ ɴ ᴛ,872998007,,,,3748918,41773548,45607512,,30000000,11900000
145330703,DJules,849901655,,,,2964070,40986740,44233460,,31500000,13500000
49911318,๖ۣۜSandosi,823321095,,,,1784039,40271439,42190567,,31500000,13500000
145526339,Jolson,785387203,,,,3731334,37402267,41221061,,22000000,9000000
78545474,lazyBunny,771313013,,,,4354954,36383862,40807675,,33000000,15200000
56847307,Naüghty Papi,674338094,,,,4293207,31552377,38234278,,43500000,29900000
14826903,ᶜᶠ Hector,656053060,,,,6760695,29328383,37548363,,30000000,11900000
145508066,VươngBắc,620592756,,,,4478065,28699473,34589582,,26000000,10400000
145526127,Deliz,646581557,,,,2470957,31092822,33584035,,20000000,7700000
145365638,Saeil,638919582,,,,2038388,30926172,32974478,,18000000,6500000
21693406,MUNDRED,597223496,,,,3960032,27864527,32105642,,22000000,9000000
100686839,冬BaYu,581512092,,,,3347109,27391746,31077589,,26000000,10400000
44182184,Aiden N,556695579,,,,4093846,25786719,29921198,,33000000,15200000
140623507,OV YameN,295897302,,,,21118870,4063885,29881136,,20000000,7700000
97034600,BLUE THUNDER9,481301198,,,,9972942,19058986,29816204,,30000000,11900000
74241315,VALOMYR,572640546,,,,1977434,27641692,29664965,,26000000,10400000
106221261,ᴵᴬᴹRaba,485739209,,,,3239315,22663809,26137598,,20000000,7700000
56612550,Markus co,466049752,,,,3314980,21619920,25409118,,31500000,13500000
139814036,ᴳᶜDexxxxxxx,468879615,,,,1305829,22787698,24169772,,30000000,11900000
119563346,ＫＵＺＡN,458055641,,,,2119167,21839025,24044713,,26000000,10400000
44290187,TonyKLS,420675403,,,,1612465,20200410,22224838,,26000000,10400000
20094001,DuZy ᴾᴸ,350062417,,,,5828149,14575418,21008434,,26000000,10400000
145879730,Nickolino,368422670,,,,2016679,17276169,20693808,,18000000,6500000
79557707,メSaint Noob,386377047,,,,1746429,18444386,20246200,,30000000,11900000
95163657,RᵉᵈNEBULA,380110542,,,,2345434,17828202,20234288,,30000000,11900000
86702444,๖ۣۜRòm,363662050,,,,2328447,16993322,19734113,,26000000,10400000
92428318,亗 JUPITER 亗,343877049,,,,2818919,15744093,19535779,,22000000,9000000
140317053,ᶜᶠShadow乂,199797062,,,,10250194,4626751,19209104,,20000000,7700000
141283093,Angrypenguins,351702112,,,,2959194,16101248,19144992,,20000000,7700000
53693174,Daveᴵᴰ シ,354862668,,,,2642670,16419394,19131709,,26000000,10400000
9192398,Minitroops,312043352,,,,3518671,13822653,17824460,,22000000,9000000
175014759,Sunnyуy,231552401,,,,6773068,8037069,17177849,,22000000,9000000
74078439,ᶦ Byek ᵂᴶ,297320436,,,,3016777,13355028,16437359,,30000000,11900000
125654128,Ney Mall,249060912,,,,4818248,10026875,16095596,,30000000,11900000
145934690,Be Be,274183523,,,,2746394,12324525,15898949,,30000000,11900000
74139968,Valír Williams,282926893,,,,2078861,13100230,15293612,,26000000,10400000
145569783,HONGHA,251352071,,,,4667130,10220073,15123435,,26000000,10400000
141166023,MoMo Knight,271923986,,,,1274825,12956846,14359490,,18000000,6500000
142105264,ᵂᵃIamLemon,252366279,,,,1886745,11666114,14184017,,26000000,10400000
111392330,Tarnovia,218617352,,,,4601298,8611312,13707103,,20000000,7700000
145688177,OTUSS,248329637,,,,94326,11944719,12889590,,18000000,6500000
23884127,Captain Isiah,223781314,,,,3273821,9549260,12866582,,30000000,11900000
170403058,ˢʷSp3ck,229043573,,,,1229493,10835620,12082252,,22000000,9000000
83166665,R a j a,207477837,,,,2872990,8934010,11959860,,26000000,10400000
150504422,Sneaky Snitch,214506718,,,,1278321,10085307,11447279,,9000000,3500000
50514620,96NekOo,199804715,,,,1298638,9314391,10895190,,22000000,9000000
145763963,LørdWhis,192662912,,,,2225648,8519001,10773649,,20000000,7700000
139612415,ミ ExcèL シ,185157871,,,,2418980,8043843,10637414,,20000000,7700000
145767411,Tacôcat,194245014,,,,1517224,8943860,10632272,,30000000,11900000
145884049,LukaᴾᵂPingu,197947756,,,,1024789,9384375,10430619,,10000000,4400000
145344831,Valpo,190257001,,,,1434020,8790064,10333858,,18000000,6500000
145241902,Riskyyyyy,189075934,,,,1379286,8764006,10151186,,33000000,15200000
141417086,Memutis,149514706,,,,3140874,5881187,9908307,,18000000,6500000
145521049,StinaPrincess,170363652,,,,1760137,7636634,9418925,,18000000,6500000
126414398,Gen Sherman,173305449,,,,86555,8232124,9114889,,30000000,11900000
152837088,MissIndependent,118076294,,,,2649445,4576723,7266628,,18000000,6500000
79464620,Erika lee,127979137,,,,57772,6110092,6688102,,30000000,11900000
146144670,Tokens 95,105017332,,,,67810,4911352,5598422,,10000000,4400000
145704875,ᶜᶠFilou,87332774,,,,1044401,3843124,4968038,,22000000,9000000
